EVC_NO,USER_ID,START_DATE,START_TIME,END_DATE,END_TIME,VAC_HRS,STATUS,START_FLAG,AGENT_NO,VAC_TYPE,DEL_FLAG,REMARK,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,SUBMIT_TIME,DELAY_FLAG,SOURCE_NUMBER
EVC202111110149,F20030,2021-11-22,0930,2021-11-22,1830,8,Y,Y,F40024,1V,N,,F20030,"2021-11-11 12:53:44",F20030,"2021-11-11 12:53:44","2021-11-11 12:53:44",N,NULL
EVC202111120150,F20027,2021-11-30,0930,2021-11-30,1830,8,Y,Y,F20034,1V,N,,F20027,"2021-11-12 11:03:03",F20027,"2021-11-12 11:03:03","2021-11-12 11:03:03",N,NULL
EVC202111120151,F20034,2021-11-19,0930,2021-11-19,1830,8,Y,Y,F20027,1V,N,,F20034,"2021-11-12 11:04:53",F20034,"2021-11-12 11:04:53","2021-11-12 11:04:53",N,NULL
EVC202111120152,G40035,2021-11-19,0930,2021-11-19,1830,8,Y,Y,G40036,I1,N,"打武漢肺炎第一劑 莫德納",G40035,"2021-11-12 11:37:59",G40035,"2021-11-12 11:37:59","2021-11-12 11:37:59",N,NULL
EVC202111120157,G20046,2021-11-08,0900,2021-11-08,1800,8,Y,Y,G20042,1V,N,特休,G20047,"2021-11-12 16:47:49",G20047,"2021-11-12 16:47:49","2021-11-12 16:47:50",Y,NULL
EVC202111120159,I20028,2021-11-18,0900,2021-11-19,1800,16,Y,Y,I40014,E,N,打疫苗,I20028,"2021-11-12 17:42:29",I20028,"2021-11-12 17:42:29","2021-11-12 17:42:29",N,NULL
EVC202111150161,S20109,2021-11-17,0930,2021-11-17,1800,8,Y,Y,L20065,1V,N,複診,S20109,"2021-11-15 11:37:16",S20109,"2021-11-15 11:37:16","2021-11-15 11:37:16",N,NULL
EVC202111150162,L20065,2021-11-19,0900,2021-11-19,1800,8,Y,Y,L20068,1V,N,,L20065,"2021-11-15 11:52:53",L20065,"2021-11-15 11:52:53","2021-11-15 11:52:54",N,NULL
EVC202111150163,L20068,2021-11-16,1430,2021-11-16,1800,5,Y,Y,L20065,1V,N,,L20068,"2021-11-15 11:54:39",L20068,"2021-11-15 11:54:39","2021-11-15 11:54:39",N,NULL
EVC202111150164,F20028,2021-11-15,0930,2021-11-15,1800,8,Y,Y,F40025,1V,N,,F20028,"2021-11-15 13:48:19",F20028,"2021-11-15 13:48:19","2021-11-15 13:48:19",Y,NULL
EVC202111150165,I20020,2021-11-11,0900,2021-11-12,1800,16,Y,Y,I20032,E,N,疫苗假,I20020,"2021-11-15 20:05:24",I20020,"2021-11-15 20:05:24","2021-11-15 20:05:24",Y,NULL
EVC202111150166,I20020,2021-11-18,0900,2021-11-18,1800,8,Y,Y,I20032,1V,N,特休假,I20020,"2021-11-15 20:06:54",I20020,"2021-11-15 20:06:54","2021-11-15 20:06:54",N,NULL
EVC202111150167,I20020,2021-11-26,0900,2021-11-26,1800,8,Y,Y,I20032,1V,N,特休假,I20020,"2021-11-15 20:07:26",I20020,"2021-11-15 20:07:26","2021-11-15 20:07:26",N,NULL
EVC202111160168,B20002,2021-11-17,0930,2021-11-17,1830,8,Y,Y,B40031,1V,N,,B20002,"2021-11-16 11:54:08",B20002,"2021-11-16 11:54:23","2021-11-16 11:54:23",N,NULL
EVC202111160169,C20005,2021-11-19,0930,2021-11-19,1830,8,Y,Y,L20068,1V,N,,C20005,"2021-11-16 12:02:46",C20005,"2021-11-16 12:02:46","2021-11-16 12:02:46",N,NULL
EVC202111160170,L20064,2021-11-04,0930,2021-11-04,1000,1,Y,Y,L20065,1V,N,,L20064,"2021-11-16 20:21:57",L20064,"2021-11-16 20:21:57","2021-11-16 20:21:57",Y,NULL
EVC202111190173,S20109,2021-11-19,1330,2021-11-19,1830,5,Y,Y,L20068,1V,N,PCR檢查,S20109,"2021-11-19 10:11:17",S20109,"2021-11-19 10:11:17","2021-11-19 10:11:17",N,NULL
EVC202111210177,S20108,2021-11-22,0900,2021-11-22,1800,8,Y,Y,S20100,D,N,原10/30台北裝機,S20108,"2021-11-21 21:29:22",S20108,"2021-11-21 21:29:22","2021-11-21 21:29:22",N,NULL
EVC202111220178,G40034,2021-11-26,0900,2021-11-26,1800,8,Y,Y,G40033,1V,N,,G40034,"2021-11-22 15:21:18",G40034,"2021-11-22 15:21:18","2021-11-22 15:21:18",N,NULL
EVC202111230179,F40025,2021-11-26,0830,2021-11-26,1830,8,Y,Y,F20028,1V,N,,F40025,"2021-11-23 09:33:19",F40025,"2021-11-23 09:33:19","2021-11-23 09:33:20",N,NULL
EVC202111240180,C20005,2021-11-29,0930,2021-11-30,1830,8,N,Y,B40031,1V,N,,C20005,"2021-11-24 08:56:31",C20005,"2021-11-24 08:56:31","2021-11-24 08:56:31",N,NULL
EVC202111240181,C20005,2021-12-01,0930,2021-12-01,1830,8,Y,Y,L20068,1V,N,,C20005,"2021-11-24 08:57:30",C20005,"2021-11-24 08:57:30","2021-11-24 08:57:31",N,NULL
EVC202111240182,I20031,2021-11-24,1400,2021-11-24,1800,4,Y,Y,I20036,1V,N,特休,I20031,"2021-11-24 11:15:21",I20031,"2021-11-24 11:15:21","2021-11-24 11:15:21",N,NULL
EVC202111240183,F40024,2021-11-25,0930,2021-11-25,1830,8,Y,Y,F20030,1V,N,,F40024,"2021-11-24 12:19:04",F40024,"2021-11-24 12:19:04","2021-11-24 12:19:05",N,NULL
EVC202111240184,F20027,2021-11-26,1430,2021-11-26,1830,4,Y,Y,F20034,1V,N,,F20027,"2021-11-24 13:49:38",F20027,"2021-11-24 13:49:38","2021-11-24 13:49:38",N,NULL
EVC202111240185,F20027,2021-12-09,0930,2021-12-09,1830,8,Y,Y,F20034,1V,N,,F20027,"2021-11-24 13:52:47",F20027,"2021-11-24 13:52:47","2021-11-24 13:52:47",N,NULL
EVC202111250187,S20108,2021-11-15,0900,2021-11-15,1800,8,Y,Y,S20100,D,N,原10/23高雄保養,S20108,"2021-11-25 13:49:51",S20108,"2021-11-25 13:49:51","2021-11-25 13:49:51",Y,NULL
EVC202111250188,L20064,2021-11-22,0930,2021-11-23,1000,"1  小時",N,Y,L20065,1V,N,,L20064,"2021-11-25 20:26:59",L20064,"2021-11-25 20:26:59","2021-11-25 20:26:59",Y,NULL
EVC202111260190,S20108,2021-11-29,0900,2021-11-29,1800,8,Y,Y,S20100,D,N,原11/13台南,S20108,"2021-11-26 10:00:49",S20108,"2021-11-26 10:00:49","2021-11-26 10:00:50",N,NULL
EVC202111260191,L20068,2021-11-29,0930,2021-11-30,1830,16,Y,Y,L20065,E,N,接種疫苗,L20068,"2021-11-26 12:59:48",L20068,"2021-11-26 12:59:48","2021-11-26 12:59:48",N,NULL
EVC202111260192,L20065,2021-12-03,0930,2021-12-03,1830,8,Y,Y,L20068,1V,N,,L20065,"2021-11-26 16:02:34",L20065,"2021-11-26 16:02:34","2021-11-26 16:02:34",N,NULL
EVC202111260195,L20064,2021-11-23,0930,2021-11-23,1000,"0.5 ",Y,Y,L20065,1V,N,,L20064,"2021-11-26 23:01:51",L20064,"2021-11-26 23:01:51","2021-11-26 23:01:51",Y,NULL
EVC202111290196,G20033,2021-12-06,1300,2021-12-07,1800,12,N,Y,G20032,I1,N,打疫苗,G20033,"2021-11-29 12:53:13",G20033,"2021-11-29 12:53:13","2021-11-29 12:53:14",N,NULL
EVC202111290197,B40031,2021-12-01,0930,2021-12-01,1830,8,Y,Y,B20002,1V,N,,B40031,"2021-11-29 16:13:28",B40031,"2021-11-29 16:13:28","2021-11-29 16:13:28",N,NULL
EVC202111290198,I20037,2021-12-09,0900,2021-11-09,1800,8,Y,Y,I40013,1V,N,年假,I20037,"2021-11-29 22:19:04",I20037,"2021-11-29 22:19:04","2021-11-29 22:19:05",N,NULL
EVC202111300199,I40014,2021-12-01,0900,2021-12-01,1800,8,Y,Y,I20028,1V,N,,I40014,"2021-11-30 17:09:44",I40014,"2021-11-30 17:09:44","2021-11-30 17:09:44",N,NULL
EVC202112010200,S20108,2021-12-06,0900,2021-12-06,1800,8,Y,Y,S20100,D,N,原11/20加班,S20108,"2021-12-01 04:21:26",S20100,"2021-12-01 04:22:00","2021-12-01 04:22:01",N,NULL
EVC202112010210,G20033,2021-12-08,1300,2021-12-09,1800,12,Y,Y,G20032,I1,N,打疫苗,G20033,"2021-12-01 17:06:06",G20033,"2021-12-01 17:06:06","2021-12-01 17:06:06",N,NULL
EVC202112020218,A40104,2021-12-03,0900,2021-12-03,1830,8,Y,Y,B40031,B,N,回診,A40104,"2021-12-02 09:53:39",A40104,"2021-12-02 09:53:39","2021-12-02 09:53:39",N,NULL
EVC202112020222,J20042,2021-12-03,1300,2021-12-03,1800,8,Y,Y,J20044,1V,N," 特休",J20042,"2021-12-02 14:36:05",J20042,"2021-12-02 14:36:05","2021-12-02 14:36:05",N,NULL
EVC202112020224,C20005,2021-11-30,0930,2021-11-30,1830,8,Y,Y,B40031,1V,N,,C20005,"2021-12-02 17:05:42",C20005,"2021-12-02 17:06:03","2021-12-02 17:06:03",Y,NULL
EVC202112060226,B20002,2021-12-08,0930,2021-12-09,1830,16,Y,Y,B40031,E,N,疫苗接種,B20002,"2021-12-06 09:40:54",B20002,"2021-12-06 09:40:54","2021-12-06 09:40:54",N,NULL
EVC202112060227,I40014,2021-12-08,0900,2021-12-08,1800,8,Y,Y,I20028,1V,N,,I40014,"2021-12-06 14:14:25",I40014,"2021-12-06 14:14:25","2021-12-06 14:14:26",N,NULL
EVC202112060228,I40014,2021-12-23,0900,2021-12-24,1800,16,Y,Y,I20030,1V,N,,I40014,"2021-12-06 14:15:18",I40014,"2021-12-06 14:15:18","2021-12-06 14:15:18",N,NULL
EVC202112060229,I40014,2021-12-29,0900,2021-12-29,1800,8,Y,Y,I20028,1V,N,,I40014,"2021-12-06 14:15:44",I40014,"2021-12-06 14:15:44","2021-12-06 14:15:44",N,NULL
EVC202112060230,F20030,2021-12-07,1430,2021-12-07,1830,4,Y,Y,F40024,1V,N,,F20030,"2021-12-06 18:16:45",F20030,"2021-12-06 18:16:45","2021-12-06 18:16:45",N,NULL
EVC202112070233,G00004,2021-12-10,0900,2021-12-10,1800,8,Y,Y,G20041,1V,N,特休假,G00004,"2021-12-07 17:34:15",G00004,"2021-12-07 17:34:15","2021-12-07 17:34:15",N,NULL
EVC202112070234,J20026,2021-12-17,0900,2021-12-17,1800,8,Y,Y,J20041,1V,N,,J20026,"2021-12-07 19:53:30",J20026,"2021-12-07 19:53:30","2021-12-07 19:53:30",N,NULL
EVC202112080235,J20040,2021-12-08,0900,2021-12-08,1800,8,Y,Y,J40007,1V,N,,J20040,"2021-12-08 08:51:04",J20040,"2021-12-08 08:51:04","2021-12-08 08:51:04",N,NULL
EVC202112080236,J20041,2021-12-05,0900,2021-12-05,1800,8,Y,Y,J20026,E,N,打疫苗假,J20041,"2021-12-08 09:35:14",J20041,"2021-12-08 09:35:14","2021-12-08 09:35:15",Y,NULL
EVC202112080237,F20034,2021-12-14,0900,2021-12-15,1800,16,Y,Y,F20027,E,N,疫苗假,F20034,"2021-12-08 15:45:02",F20034,"2021-12-08 15:45:02","2021-12-08 15:45:02",N,NULL
EVC202112080238,I20020,2021-12-10,0900,2021-12-10,1800,8,Y,Y,I20032,1V,N,,I20020,"2021-12-08 18:29:11",I20020,"2021-12-08 18:29:11","2021-12-08 18:29:11",N,NULL
EVC202112080239,I20020,2021-12-16,0900,2021-12-16,1800,8,Y,Y,I20032,1V,N,,I20020,"2021-12-08 18:31:25",I20020,"2021-12-08 18:31:25","2021-12-08 18:31:26",N,NULL
EVC202112090240,F20030,2021-12-09,1430,2021-12-09,1830,4,Y,Y,F40024,1V,N,,F20030,"2021-12-09 11:20:22",F20030,"2021-12-09 11:20:22","2021-12-09 11:20:23",N,NULL
EVC202112090241,S000K3,2021-12-10,0930,2021-12-10,1830,8,Y,Y,G40036,1V,N,,S000K3,"2021-12-09 12:16:41",S000K3,"2021-12-09 12:16:41","2021-12-09 12:16:41",N,NULL
EVC202112090242,F20028,2021-12-10,0930,2021-12-10,1830,8,Y,Y,F40025,1V,N,,F20028,"2021-12-09 18:08:27",F20028,"2021-12-09 18:08:27","2021-12-09 18:08:27",N,NULL
EVC202112090243,I20028,2021-12-17,0900,2021-12-17,1800,8,Y,Y,I40014,1V,N,特休,I20028,"2021-12-09 20:34:40",I20028,"2021-12-09 20:34:40","2021-12-09 20:34:40",N,NULL
EVC202112090244,I20028,2021-12-30,0900,2021-12-30,1800,8,Y,Y,I40014,1V,N,特休,I20028,"2021-12-09 20:35:16",I20028,"2021-12-09 20:35:16","2021-12-09 20:35:16",N,NULL
EVC202112100247,G20032,2021-12-24,0900,2021-12-24,1800,8,Y,Y,G20033,1V,N,,G20032,"2021-12-10 16:21:19",G20032,"2021-12-10 16:26:19","2021-12-10 16:26:20",N,NULL
EVC202112100248,G20033,2021-12-21,0900,2021-12-21,1800,8,Y,Y,G20032,1V,N,,G20033,"2021-12-10 16:21:38",G20033,"2021-12-10 16:21:38","2021-12-10 16:21:38",N,NULL
EVC202112100249,I20032,2021-12-08,0900,2021-12-09,1800,16,Y,Y,I20020,I1,N,第二劑AZ,I20032,"2021-12-10 23:47:08",I20032,"2021-12-10 23:47:26","2021-12-10 23:47:26",Y,NULL
EVC202112130250,F20028,2021-12-14,0930,2021-12-14,1430,4,Y,Y,F40025,1V,N,,F20028,"2021-12-13 10:40:07",F20028,"2021-12-13 10:40:07","2021-12-13 10:40:07",N,NULL
EVC202112130251,I20032,2021-12-17,0900,2021-12-17,1800,8,Y,Y,I20020,1V,N,特休,I20032,"2021-12-13 11:33:46",I20032,"2021-12-13 11:33:59","2021-12-13 11:33:59",N,NULL
EVC202112130252,I20038,2021-12-09,0900,2021-12-10,1800,16,Y,Y,I40014,E,N,公假,I20038,"2021-12-13 11:39:01",I20038,"2021-12-13 11:39:01","2021-12-13 11:39:02",Y,NULL
EVC202112140253,L20068,2021-12-03,1500,2021-12-03,1830,3.5,N,Y,L20065,1V,N,登記特休。,L20068,"2021-12-14 07:20:19",L20068,"2021-12-14 07:20:19","2021-12-14 07:20:19",Y,NULL
EVC202112140254,I20031,2021-12-14,1400,2021-12-14,1800,4,Y,Y,I20036,1V,N,特休,I20031,"2021-12-14 11:42:51",I20031,"2021-12-14 11:42:51","2021-12-14 11:42:51",N,NULL
EVC202112140255,I20031,2021-12-15,0900,2021-12-16,1800,16,Y,Y,I20036,E,N,疫苗假,I20031,"2021-12-14 11:43:34",I20031,"2021-12-14 11:43:34","2021-12-14 11:43:35",N,NULL
EVC202112140256,I20036,2021-12-21,0900,2021-12-22,1800,16,Y,Y,I20031,E,N,疫苗假,I20036,"2021-12-14 11:44:25",I20036,"2021-12-14 11:44:25","2021-12-14 11:44:25",N,NULL
EVC202112140257,I20036,2021-12-24,0900,2021-12-24,1800,8,Y,Y,I20031,1V,N,特休,I20036,"2021-12-14 11:45:26",I20036,"2021-12-14 11:45:26","2021-12-14 11:45:26",N,NULL
EVC202112140258,B40031,2021-12-15,0930,2021-12-15,1830,8,Y,Y,B20002,1V,N,,B40031,"2021-12-14 14:11:21",B40031,"2021-12-14 14:11:21","2021-12-14 14:11:21",N,NULL
EVC202112140260,S20100,2021-12-16,0930,2021-12-17,1830,16,Y,Y,S000A3,I1,N,疫苗,S20100,"2021-12-14 16:31:07",S20100,"2021-12-14 16:31:07","2021-12-14 16:31:07",N,NULL
EVC202112150264,M40026,2021-12-17,0930,2021-12-17,1830,8,Y,Y,M40066,1V,N,,M40026,"2021-12-15 10:12:17",M40026,"2021-12-15 10:12:17","2021-12-15 10:12:17",N,NULL
EVC202112150265,S20060,2021-12-17,0930,2021-12-17,1830,8,Y,Y,S20110,1V,N,事假,S20060,"2021-12-15 10:37:53",S20060,"2021-12-15 10:37:53","2021-12-15 10:37:53",N,NULL
EVC202112150267,F40024,2021-12-16,0930,2021-12-16,1830,8,Y,Y,F20030,1V,N,,F40024,"2021-12-15 11:25:13",F40024,"2021-12-15 11:25:13","2021-12-15 11:25:13",N,NULL
EVC202112150270,B20005,2021-12-22,0900,2021-12-22,1800,8,Y,Y,B40013,1V,N,特休,B20005,"2021-12-15 11:45:15",B20005,"2021-12-15 11:45:15","2021-12-15 11:45:15",N,NULL
EVC202112150271,S000A3,2021-12-27,0930,2021-12-28,1830,16,Y,Y,S20100,D,N,"補休 - 牙周翻瓣手術",S000A3,"2021-12-15 12:13:59",S000A3,"2021-12-15 12:13:59","2021-12-15 12:13:59",N,NULL
EVC202112150272,M40026,2021-12-16,0930,2021-12-16,1100,1.5,Y,Y,M40001,E,N,2020眼科請款,M40026,"2021-12-15 12:43:02",M40026,"2021-12-15 12:43:02","2021-12-15 12:43:02",N,NULL
EVC202112160275,S20108,2021-12-17,0900,2021-12-17,1800,8,Y,Y,S20100,D,N,原11/27加班,S20108,"2021-12-16 09:29:41",S20108,"2021-12-16 09:29:41","2021-12-16 09:29:42",N,NULL
EVC202112160279,L20036,2021-12-16,1730,2021-12-16,1830,1,Y,Y,L20004,1V,N,,L20036,"2021-12-16 14:23:21",L20036,"2021-12-16 14:23:21","2021-12-16 14:23:21",N,NULL
EVC202112170280,L20036,2021-12-17,0900,2021-12-17,1830,8,Y,Y,L20004,1V,N,,L20036,"2021-12-17 09:14:16",L20036,"2021-12-17 09:14:16",NULL,N,NULL
EVC202112170281,M20027,2021-12-24,0930,2021-12-24,1830,8,Y,Y,M40001,1V,N,,M20027,"2021-12-17 11:07:50",M20027,"2021-12-17 11:07:50",NULL,N,NULL
EVC202112170282,G40036,2021-12-22,0900,2021-12-22,1800,8,Y,Y,S000K3,1V,N,特休,G40036,"2021-12-17 13:51:24",G40036,"2021-12-17 13:51:24",NULL,N,NULL
EVC202112190286,A40104,2021-12-20,1330,2021-12-20,1830,5,Y,Y,B40031,B,N,醫院檢查,A40104,"2021-12-19 12:14:12",A40104,"2021-12-19 12:14:12",NULL,N,NULL
EVC202112190287,A40104,2021-12-24,0930,2021-12-24,1830,8,Y,Y,B40031,B,N,回診,A40104,"2021-12-19 12:15:15",A40104,"2021-12-19 12:15:15",NULL,N,NULL
EVC202112200288,F40025,2021-12-17,0900,2021-12-17,1830,8,Y,Y,F20028,1V,N,,F40025,"2021-12-20 09:28:41",F40025,"2021-12-20 09:28:41",NULL,N,NULL
EVC202112200289,F40025,2021-12-30,0900,2021-12-30,1830,8,Y,Y,F20028,1V,N,,F40025,"2021-12-20 09:29:01",F40025,"2021-12-20 09:29:01",NULL,N,NULL
EVC202112200290,L20068,2021-12-03,1700,2021-12-03,1830,1.5,Y,Y,L20065,1V,N,以特休請假,L20068,"2021-12-20 09:31:56",L20068,"2021-12-20 09:31:56",NULL,N,NULL
EVC202112200292,M40026,2021-12-21,0930,2021-12-21,1830,8,Y,Y,M40001,1V,N,,M40026,"2021-12-20 09:40:01",M40026,"2021-12-20 09:40:01",NULL,N,NULL
EVC202112200296,S20060,2021-12-24,1430,2021-12-24,1830,4,Y,Y,S20110,1V,N,事假,S20060,"2021-12-20 10:23:52",S20060,"2021-12-20 10:23:52",NULL,N,NULL
EVC202112200299,I20020,2021-12-22,0900,2021-12-22,1800,8,Y,Y,I20032,1V,N,,I20020,"2021-12-20 21:09:45",I20020,"2021-12-20 21:09:45",NULL,N,NULL
EVC202112210303,F20027,2021-12-21,1430,2021-12-21,1830,4,Y,Y,F20034,1V,N,,F20027,"2021-12-21 11:16:28",F20027,"2021-12-21 11:16:28","2021-12-21 11:16:29",N,NULL
EVC202112210305,F20027,2021-12-28,0930,2021-12-28,1830,8,Y,Y,F20034,H3,N,產檢,F20027,"2021-12-21 11:43:29",F20027,"2021-12-21 11:43:29","2021-12-21 11:43:29",N,NULL
EVC202112210306,I20028,2021-12-22,1400,2021-12-22,1800,4,Y,Y,I40014,1V,N,特休,I20028,"2021-12-21 15:32:10",I20028,"2021-12-21 15:32:10","2021-12-21 15:32:11",N,NULL
EVC202112210307,B20002,2021-12-22,0930,2021-12-22,1830,8,Y,Y,B40031,1V,N,,B20002,"2021-12-21 16:51:44",B20002,"2021-12-21 16:51:44","2021-12-21 16:51:45",N,NULL
EVC202112210308,B40031,2021-12-29,0930,2021-12-29,1830,8,Y,Y,B20002,1V,N,,B40031,"2021-12-21 16:56:28",B40031,"2021-12-21 16:56:28","2021-12-21 16:56:29",N,NULL
EVC202112210309,G20046,2021-12-22,0900,2021-12-22,1800,8,Y,Y,G20042,OT,N,,G20047,"2021-12-21 17:31:18",G20047,"2021-12-21 17:31:18","2021-12-21 17:31:18",N,NULL
EVC202112210310,G20042,2021-12-24,0900,2021-12-24,1800,8,Y,Y,G20047,1V,N,特休,G20042,"2021-12-21 17:31:55",G20042,"2021-12-21 17:31:55","2021-12-21 17:31:56",N,NULL
EVC202112220311,F20034,2021-12-24,0930,2021-12-24,1830,8,Y,Y,F20027,1V,N,,F20034,"2021-12-22 08:32:00",F20034,"2021-12-22 08:32:00","2021-12-22 08:32:01",N,NULL
EVC202112220312,L20068,2021-12-27,0930,2021-12-27,1830,8,Y,Y,L20065,1V,N,特休,L20068,"2021-12-22 08:39:32",L20068,"2021-12-22 08:39:32","2021-12-22 08:39:32",N,NULL
EVC202112220313,L20064,2021-12-06,0930,2021-12-06,1000,0.5,Y,Y,L20065,1V,N,,L20064,"2021-12-22 10:18:22",L20064,"2021-12-22 10:18:22","2021-12-22 10:18:22",Y,NULL
EVC202112220314,F20030,2021-12-22,1430,2021-12-22,1830,4,Y,Y,F40024,1V,N,,F20030,"2021-12-22 12:49:37",F20030,"2021-12-22 12:49:37","2021-12-22 12:49:37",N,NULL
EVC202112220315,L20064,2021-12-22,0930,2021-12-22,1000,0.5,Y,Y,L20065,1V,N,特休,L20064,"2021-12-22 13:24:22",L20064,"2021-12-22 13:24:22","2021-12-22 13:24:22",Y,NULL
EVC202112230335,S20041,2021-12-24,0930,2021-12-24,1830,8,Y,Y,S20003,1V,N,,S20041,"2021-12-23 14:14:02",S20041,"2021-12-23 14:14:02","2021-12-23 14:14:02",N,NULL
EVC202112230336,S000A8,2021-12-24,0930,2021-12-24,1830,8,Y,Y,S000A9,D,N,抵12/4,S000A8,"2021-12-23 17:37:05",S000A8,"2021-12-23 17:37:05","2021-12-23 17:37:05",N,NULL
EVC202112240346,I20031,2021-12-23,0900,2021-12-23,1800,8,Y,Y,I20032,1V,N,特休,I20031,"2021-12-24 09:16:11",I20031,"2021-12-24 09:16:11","2021-12-24 09:16:11",Y,NULL
EVC202112240348,S20003,2021-12-27,1730,2021-12-27,1830,1,Y,Y,S20018,1V,N,,S20003,"2021-12-24 12:20:41",S20003,"2021-12-24 12:21:06","2021-12-24 12:21:06",N,NULL
EVC202112240350,F20030,2022-01-03,0930,2022-01-04,1830,16,Y,Y,F40024,J1,N,,F20030,"2021-12-24 12:37:30",F20030,"2021-12-24 14:33:01","2021-12-24 14:33:01",N,NULL
EVC202112270353,S20108,2021-12-29,0900,2021-12-30,1800,16,Y,Y,S20100,D,N,原12/4&12/11加班,S20108,"2021-12-27 09:05:32",S20108,"2021-12-27 09:05:32","2021-12-27 09:05:32",N,NULL
