確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
嚴重特殊傳染性肺炎,2023,11,桃園市,龍潭區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,桃園市,龜山區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,11,高雄市,苓雅區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,高雄市,左營區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,11,高雄市,鳳山區,M,否,15-19,1
嚴重特殊傳染性肺炎,2023,11,高雄市,鳥松區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,11,高雄市,大寮區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,高雄市,前鎮區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,基隆市,中山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,基隆市,暖暖區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,雲林縣,斗南鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,雲林縣,斗六市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,雲林縣,台西鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,中和區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,11,新北市,土城區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,新北市,中和區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,新北市,樹林區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,新北市,三重區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,三峽區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,中和區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,11,新北市,汐止區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,淡水區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,新店區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,樹林區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,雙溪區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,三重區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,11,新北市,新莊區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,11,新北市,中和區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,11,新北市,中和區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,新北市,三峽區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,土城區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,汐止區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,樹林區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新北市,鶯歌區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,新竹縣,竹北市,F,否,20-24,1
嚴重特殊傳染性肺炎,2023,11,新竹縣,竹北市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,嘉義市,西區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,嘉義縣,水上鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,嘉義縣,水上鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,彰化縣,彰化市,F,否,40-44,1
嚴重特殊傳染性肺炎,2023,11,彰化縣,二水鄉,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,11,彰化縣,大村鄉,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,彰化縣,彰化市,F,否,70+,2
嚴重特殊傳染性肺炎,2023,11,彰化縣,二林鎮,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,11,彰化縣,花壇鄉,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,彰化縣,和美鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,彰化縣,芳苑鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,彰化縣,彰化市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,彰化縣,線西鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,外埔區,F,否,30-34,1
嚴重特殊傳染性肺炎,2023,12,台中市,西屯區,F,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台中市,外埔區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台中市,后里區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台中市,豐原區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台中市,北區,F,否,60-64,2
嚴重特殊傳染性肺炎,2023,12,台中市,東區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,南區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,豐原區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,大甲區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,豐原區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,大甲區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,太平區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,北屯區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台中市,沙鹿區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,東勢區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,南屯區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,南區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,神岡區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,新社區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,潭子區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,龍井區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,霧峰區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,后里區,M,否,0,1
嚴重特殊傳染性肺炎,2023,12,台中市,大里區,M,否,2,1
嚴重特殊傳染性肺炎,2023,12,台中市,龍井區,M,否,2,1
嚴重特殊傳染性肺炎,2023,12,台中市,烏日區,M,否,35-39,1
嚴重特殊傳染性肺炎,2023,12,台中市,沙鹿區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,台中市,霧峰區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,台中市,潭子區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台中市,大雅區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,北屯區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,北區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,后里區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,潭子區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,大里區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,太平區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,北屯區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,西屯區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,西區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,12,台中市,霧峰區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,12,台中市,大肚區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,大里區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,大雅區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,太平區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台中市,北屯區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台中市,北區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台中市,外埔區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台中市,石岡區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,后里區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,西屯區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,東勢區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,南屯區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,南區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,神岡區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,梧棲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,潭子區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台中市,龍井區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,豐原區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,文山區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,南港區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,萬華區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,士林區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台北市,大安區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,中山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,中正區,F,否,70+,6
嚴重特殊傳染性肺炎,2023,12,台北市,內湖區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台北市,文山區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台北市,北投區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台北市,松山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,南港區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,萬華區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台北市,內湖區,M,否,35-39,1
嚴重特殊傳染性肺炎,2023,12,台北市,內湖區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台北市,萬華區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台北市,大同區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,台北市,內湖區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台北市,士林區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,中山區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,北投區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,大安區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,士林區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台北市,大安區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台北市,中山區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,12,台北市,中正區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,內湖區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台北市,文山區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台北市,松山區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台北市,萬華區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台東縣,台東市,F,否,0,1
嚴重特殊傳染性肺炎,2023,12,台東縣,台東市,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台東縣,卑南鄉,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台東縣,台東市,M,否,35-39,1
嚴重特殊傳染性肺炎,2023,12,台南市,後壁區,F,否,0,1
嚴重特殊傳染性肺炎,2023,12,台南市,安南區,F,否,30-34,1
嚴重特殊傳染性肺炎,2023,12,台南市,仁德區,F,否,35-39,1
嚴重特殊傳染性肺炎,2023,12,台南市,中西區,F,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台南市,新營區,F,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,安定區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,安南區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,西港區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,東區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,關廟區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,中西區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,北區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,佳里區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,歸仁區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台南市,下營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,六甲區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,北區,F,否,70+,6
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台南市,安定區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,安南區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台南市,南區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台南市,柳營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,善化區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,新化區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台南市,新市區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,新營區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,歸仁區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,關廟區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,善化區,M,否,0,1
嚴重特殊傳染性肺炎,2023,12,台南市,北區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台南市,中西區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,玉井區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台南市,白河區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台南市,安定區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,12,台南市,六甲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,北區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,永康區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,白河區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台南市,安平區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,佳里區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台南市,東區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台南市,南區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台南市,柳營區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,麻豆區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,新營區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,關廟區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台南市,鹽水區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,宜蘭市,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,三星鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,宜蘭市,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,羅東鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,頭城鎮,M,否,30-34,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,五結鄉,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,員山鄉,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,五結鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,宜蘭市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,宜蘭縣,羅東鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,空值,空值,F,是,30-34,1
嚴重特殊傳染性肺炎,2023,12,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2023,12,空值,空值,M,是,70+,1
嚴重特殊傳染性肺炎,2023,12,花蓮縣,新城鄉,F,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,花蓮縣,吉安鄉,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,花蓮縣,花蓮市,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,花蓮縣,鳳林鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,花蓮縣,光復鄉,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,花蓮縣,吉安鄉,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,花蓮縣,花蓮市,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,花蓮縣,玉里鎮,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,花蓮縣,花蓮市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,花蓮縣,豐濱鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,金門縣,金湖鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,南投縣,草屯鎮,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,南投縣,竹山鎮,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,南投縣,竹山鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,南投縣,南投市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,南投縣,埔里鎮,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,南投縣,竹山鎮,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,南投縣,埔里鎮,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,南投縣,草屯鎮,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,南投縣,名間鄉,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,南投縣,埔里鎮,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,屏東縣,枋寮鄉,F,否,1,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,竹田鄉,F,否,2,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,屏東市,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,萬丹鄉,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,佳冬鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,新園鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,潮州鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,屏東市,M,否,0,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,東港鎮,M,否,1,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,恆春鎮,M,否,2,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,內埔鄉,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,恆春鎮,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,內埔鄉,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,潮州鎮,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,竹田鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,屏東縣,枋寮鄉,M,否,70+,1
